Sample date,Amount,Notes,CC (pg/well),%Binding,CF,dilution,CC (pg/ml),CC (pg/g),CC (ng/g),construction_status,name,construction_dummy
2015-11-11,0.4938,NA,67.373,63.551,20,75,101059.5,204656.74362089916,204.65674362089916,Active Construction,Sabrena,1
2015-11-13,0.489,NA,77.101,60.383,20,75,115651.5,236506.13496932515,236.50613496932516,Active Construction,Sabrena,1
2015-11-16,0.5142,NA,53.968,68.642,20,75,80952.00000000001,157432.9054842474,157.4329054842474,Active Construction,Sabrena,1
2015-11-23,0.4847,AM,41.91,74.129,20,75,62864.99999999999,129698.78275221784,129.69878275221785,Active Construction,Sabrena,1
2015-11-25,0.4992,AM,67.972,63.344,20,75,101957.99999999999,204242.78846153844,204.24278846153845,Active Construction,Sabrena,1
2015-11-27,0.513,NA,50.269,70.223,20,75,75403.5,146985.38011695907,146.98538011695908,Active Construction,Sabrena,1
2015-11-30,0.5074,AM,133.334,47.658,20,75,200001.00000000003,394168.30902640923,394.16830902640925,Active Construction,Sabrena,1
2014-10-17,0.501,0.38541666666666669,66.816,NA,20,75,100224.00000000001,200047.9041916168,200.0479041916168,Demo,Etana,1
2014-10-20,0.5124,AM,22.318,NA,20,75,33477,65333.72365339579,65.3337236533958,Demo,Etana,1
2014-10-22,0.5018,NA,26.761,NA,20,75,40141.5,79995.01793543244,79.99501793543243,Demo,Etana,1
2014-10-24,0.5156,0.29166666666666669,36.967,NA,20,75,55450.49999999999,107545.5779674166,107.54557796741659,Demo,Etana,1
2014-10-27,0.5162,NA,34.618,NA,20,75,51927,100594.73072452538,100.59473072452538,Demo,Etana,1
2014-10-29,0.5077,AM,40.831,NA,20,75,61246.50000000001,120635.21764821745,120.63521764821745,Demo,Etana,1
2014-10-31,0.5196,NA,52.829,NA,20,75,79243.5,152508.66050808315,152.50866050808315,Demo,Etana,1
2014-11-05,0.5118,AM,44.181,NA,20,75,66271.49999999999,129487.10433763186,129.48710433763185,Demo,Etana,1
2014-11-07,0.5129,AM,36.789,NA,20,75,55183.5,107591.14837200234,107.59114837200234,Demo,Etana,1
2014-11-10,0.5155,NA,45.548,NA,20,75,68322,132535.40252182347,132.53540252182347,Demo,Etana,1
2014-11-12,0.5278,AM,76.353,NA,20,75,114529.5,216994.12656309205,216.99412656309207,Demo,Etana,1
2014-11-14,0.5015,AM,93.279,NA,20,75,139918.5,279000.00000000006,279.00000000000006,Demo,Etana,1
2014-11-17,0.514,AM,50.619,NA,20,75,75928.5,147720.81712062255,147.72081712062254,Demo,Etana,1
2014-11-19,0.5222,AM,37.267,NA,20,75,55900.5,107048.06587514363,107.04806587514362,Demo,Etana,1
2014-11-21,0.5105,0.40972222222222227,35.009,NA,20,75,52513.50000000001,102866.79725759062,102.86679725759062,Demo,Etana,1
2014-11-24,0.4988,NA,33.851,NA,20,75,50776.5,101797.31355252606,101.79731355252606,Demo,Etana,1
2014-11-26,0.5001,0.41666666666666669,31.573,NA,20,75,47359.5,94700.0599880024,94.7000599880024,Demo,Etana,1
2014-11-28,0.4938,NA,35.425,NA,20,75,53137.5,107609.3560145808,107.6093560145808,Demo,Etana,1
2014-12-01,0.5161,0.32291666666666669,45.928,NA,20,75,68892,133485.7585739198,133.4857585739198,Demo,Etana,1
2014-12-05,0.4855,0.33333333333333331,51.153,NA,20,75,76729.5,158042.2245108136,158.0422245108136,Demo,Etana,1
2014-12-08,0.4832,NA,50.458,NA,20,75,75687,156637.00331125828,156.63700331125827,Demo,Etana,1
2014-12-10,0.4811,NA,33.186,NA,20,75,49779,103469.1332363334,103.46913323633339,Demo,Etana,1
2014-12-12,0.4926,0.36458333333333331,40.619,NA,20,75,60928.5,123687.57612667479,123.68757612667478,Demo,Etana,1
2014-12-15,0.5117,AM,40.179,NA,20,75,60268.5,117780.92632401797,117.78092632401797,Demo,Etana,1
2014-12-19,0.4944,NA,31.068,NA,20,75,46602,94259.70873786407,94.25970873786407,Demo,Etana,1
2014-12-22,0.5012,0.41666666666666669,16.213,NA,20,75,24319.5,48522.54588986433,48.522545889864325,No Construction,Etana,0
2014-12-24,0.4855,AM,24.365,NA,20,75,36547.5,75278.06385169928,75.27806385169927,No Construction,Etana,0
2014-12-29,0.4891,AM,62.485,NA,20,75,93727.5,191632.59047229605,191.63259047229604,No Construction,Etana,0
2015-01-02,0.5164,8l30 AM,49.982,NA,20,75,74973,145183.9659178931,145.1839659178931,No Construction,Etana,0
2015-01-05,0.4953,NA,38.114,NA,20,75,57171,115427.01393095094,115.42701393095093,No Construction,Etana,0
2015-01-14,0.5014,NA,75.587,NA,20,75,113380.5,226127.84204228164,226.12784204228163,No Construction,Etana,0
2015-01-28,0.4924,0.45833333333333331,43.816,NA,20,75,65724,133476.84809098294,133.47684809098294,No Construction,Etana,0
2015-02-04,0.4893,AM,93.771,NA,20,75,140656.5,287464.7455548743,287.4647455548743,No Construction,Etana,0
2015-02-09,0.4823,AM,36.617,NA,20,75,54925.49999999999,113882.43831640057,113.88243831640057,No Construction,Etana,0
2015-02-17,0.5063,NA,40.921,NA,20,75,61381.5,121235.43353742841,121.2354335374284,No Construction,Etana,0
2015-02-25,0.501,0.39583333333333331,22.112,NA,20,75,33168,66203.59281437125,66.20359281437125,No Construction,Etana,0
2015-03-04,0.4932,0.34375,87.308,NA,20,75,130962,265535.2798053528,265.5352798053528,No Construction,Etana,0
2015-03-11,0.4957,0.375,47.117,NA,20,75,70675.5,142577.1636070204,142.5771636070204,No Construction,Etana,0
2015-03-18,0.4982,0.375,71.696,NA,20,75,107544,215865.1144118828,215.8651144118828,No Construction,Etana,0
2015-03-25,0.4843,NA,65.56,NA,20,75,98340,203055.9570514144,203.05595705141442,No Construction,Etana,0
2015-04-01,0.5104,NA,22.509,72.139,20,100,45018,88201.41065830721,88.20141065830721,No Construction,Etana,0
2015-04-06,0.5089,NA,21.835,72.642,20,100,43670.00000000001,85812.53684417372,85.81253684417372,No Construction,Etana,0
2015-04-08,0.4996,NA,28.271,68.237,20,100,56542.00000000001,113174.53963170538,113.17453963170539,Active Construction,Etana,1
2015-04-10,0.5188,NA,23.671,71.296,20,100,47341.99999999999,91252.89128758672,91.25289128758672,Active Construction,Etana,1
2015-04-13,0.4858,NA,22.279,72.309,20,100,44558,91720.87278715521,91.72087278715522,Active Construction,Etana,1
2015-04-15,0.4968,NA,17.775,75.929,20,100,35550,71557.97101449275,71.55797101449275,Active Construction,Etana,1
2015-04-17,0.4877,NA,22.024,72.5,20,100,44048,90317.81833094115,90.31781833094115,Active Construction,Etana,1
2015-04-20,0.5068,NA,19.877,74.17,20,100,39754,78441.1996842936,78.44119968429361,Active Construction,Etana,1
2015-04-22,0.4832,NA,16.397,NA,20,75,24595.499999999996,50901.28311258277,50.901283112582774,Active Construction,Etana,1
2015-04-24,0.5055,NA,37.533,NA,20,75,56299.50000000001,111373.88724035611,111.37388724035611,Active Construction,Etana,1
2015-04-27,0.5062,NA,24.464,NA,20,75,36696,72493.08573686291,72.49308573686291,Active Construction,Etana,1
2015-04-29,0.499,NA,20.154,NA,20,75,30231,60583.16633266533,60.58316633266533,Active Construction,Etana,1
2015-05-01,0.4973,NA,25.688,NA,20,75,38532,77482.40498692941,77.48240498692941,Active Construction,Etana,1
2015-05-05,0.4834,NA,48.453,66.357,20,75,72679.5,150350.64129085644,150.35064129085643,Active Construction,Etana,1
2015-05-08,0.5123,NA,44.062,NA,20,75,66093,129012.29748194417,129.01229748194416,Active Construction,Etana,1
2015-05-11,0.4919,NA,33.983,NA,20,75,50974.5,103627.7698719252,103.6277698719252,Active Construction,Etana,1
2015-05-13,0.5098,NA,47.876,66.604,20,75,71814,140867.00666928207,140.86700666928206,Active Construction,Etana,1
2015-05-15,0.4882,NA,46.643,NA,20,75,69964.5,143311.1429741909,143.31114297419091,Active Construction,Etana,1
2015-05-18,0.4816,NA,31.174,NA,20,75,46761,97095.09966777409,97.0950996677741,Active Construction,Etana,1
2015-05-20,0.5132,NA,20.929,74.646,20,75,31393.5,61172.057677318786,61.17205767731878,Active Construction,Etana,1
2015-05-22,0.4976,NA,21.796,74.092,20,75,32693.999999999996,65703.37620578778,65.70337620578778,Active Construction,Etana,1
2015-05-25,0.4939,NA,43.862,68.378,20,75,65793,133211.17635148816,133.21117635148815,Active Construction,Etana,1
2015-05-27,0.5007,NA,30.628,NA,20,75,45941.99999999999,91755.54224086278,91.75554224086278,Active Construction,Etana,1
2015-05-29,0.4932,NA,34.05,NA,20,75,51075,103558.39416058394,103.55839416058393,Active Construction,Etana,1
2015-06-01,0.4956,NA,54.618,63.833,20,75,81927.00000000001,165308.7167070218,165.3087167070218,Active Construction,Etana,1
2015-06-03,0.5084,NA,31.798,NA,20,75,47696.99999999999,93817.85995279306,93.81785995279306,Active Construction,Etana,1
2015-06-08,0.5197,NA,32.555,NA,20,75,48832.5,93962.86319030209,93.96286319030209,Active Construction,Etana,1
2015-06-10,0.4844,NA,95.997,NA,20,75,143995.5,297265.6895127993,297.2656895127993,Active Construction,Etana,1
2015-06-15,0.509,NA,50.941,NA,20,75,76411.5,150120.82514734773,150.12082514734772,Active Construction,Etana,1
2015-06-17,0.495,NA,52.622,NA,20,75,78933,159460.60606060605,159.46060606060604,Active Construction,Etana,1
2015-06-22,0.508,NA,56.114,63.251,20,75,84171,165690.94488188977,165.69094488188978,Active Construction,Etana,1
2015-06-26,0.4891,NA,47.531,NA,20,75,71296.5,145770.80351666326,145.77080351666325,Active Construction,Etana,1
2015-06-29,0.5052,NA,34.859,NA,20,75,52288.50000000001,103500.59382422805,103.50059382422805,Active Construction,Etana,1
2015-07-03,0.4979,NA,31.098,64.929,20,75,46647,93687.48744727857,93.68748744727857,Active Construction,Etana,1
2015-07-06,0.5135,NA,41.662,59.805,20,75,62493,121700.09737098345,121.70009737098346,Active Construction,Etana,1
2015-07-07,0.5125,NA,45.179,58.371,20,75,67768.5,132231.21951219512,132.2312195121951,Active Construction,Etana,1
2015-07-08,0.5086,NA,42.492,59.456,20,75,63737.99999999999,125320.48761305542,125.32048761305542,Active Construction,Etana,1
2015-07-10,0.4988,NA,50.698,65.414,20,75,76047,152459.9037690457,152.4599037690457,Active Construction,Etana,1
2015-07-13,0.4945,NA,53.247,55.46,20,75,79870.5,161517.69464105158,161.51769464105158,Active Construction,Etana,1
2015-07-15,0.4942,NA,79.526,48.415,20,75,119289,241377.9846216107,241.3779846216107,Active Construction,Etana,1
2015-07-22,0.4818,NA,73.102,49.88,20,75,109653,227590.28642590286,227.59028642590286,Active Construction,Etana,1
2015-07-27,0.483,NA,16.836,75.129,20,75,25253.999999999996,52285.71428571428,52.285714285714285,Active Construction,Etana,1
2015-07-29,0.5005,NA,22.045,70.771,20,75,33067.5,66068.93106893108,66.06893106893108,Active Construction,Etana,1
2015-07-31,0.52,NA,29.595,65.786,20,75,44392.5,85370.1923076923,85.37019230769229,Active Construction,Etana,1
2015-08-03,0.4965,NA,61.125,53.02,20,75,91687.5,184667.6737160121,184.6676737160121,Active Construction,Etana,1
2015-08-07,0.5033,NA,40.632,60.247,20,75,60948,121096.7613749255,121.09676137492549,Active Construction,Etana,1
2015-08-12,0.5015,NA,30.981,64.995,20,75,46471.5,92665.00498504487,92.66500498504487,Active Construction,Etana,1
2015-08-14,0.4865,NA,22.351,70.542,20,75,33526.5,68913.6690647482,68.9136690647482,Active Construction,Etana,1
2015-08-15,0.5075,NA,42.1,59.62,20,75,63150,124433.49753694583,124.43349753694582,Active Construction,Etana,1
2015-08-16,0.5031,NA,26.671,67.569,20,75,40006.5,79519.97614788312,79.51997614788311,Active Construction,Etana,1
